election_name;rule_abbreviation;outcome
"Warszawa, Mokotów, Mokotów, 2020-09";greedy_cc;1019#%#%#1062#%#%#1065#%#%#1117#%#%#1142#%#%#1194#%#%#1303#%#%#1308#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#137#%#%#1445#%#%#1446#%#%#1460#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1728#%#%#1749#%#%#1792#%#%#1824#%#%#1878#%#%#2005#%#%#2062#%#%#2100#%#%#2161#%#%#2168#%#%#2174#%#%#2189#%#%#226#%#%#25#%#%#304#%#%#407#%#%#457#%#%#477#%#%#498#%#%#506#%#%#510#%#%#527#%#%#579#%#%#630#%#%#632#%#%#634#%#%#869#%#%#88#%#%#953#%#%#971#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";max_card;1019#%#%#1039#%#%#1062#%#%#1065#%#%#1069#%#%#1118#%#%#1142#%#%#1173#%#%#1194#%#%#1303#%#%#1310#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#137#%#%#1445#%#%#1446#%#%#1460#%#%#1476#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1680#%#%#1728#%#%#1730#%#%#1749#%#%#1786#%#%#1792#%#%#1824#%#%#1878#%#%#1990#%#%#2005#%#%#2011#%#%#2022#%#%#2062#%#%#2100#%#%#213#%#%#2161#%#%#2168#%#%#2174#%#%#2189#%#%#226#%#%#379#%#%#457#%#%#477#%#%#498#%#%#506#%#%#508#%#%#510#%#%#527#%#%#579#%#%#630#%#%#631#%#%#632#%#%#634#%#%#7#%#%#762#%#%#869#%#%#88#%#%#899#%#%#953#%#%#971#%#%#984#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";max_cost;1027#%#%#1062#%#%#1117#%#%#1315#%#%#1601#%#%#1680#%#%#1749#%#%#2061#%#%#2062#%#%#213#%#%#2161#%#%#226#%#%#457#%#%#498#%#%#579#%#%#631#%#%#762#%#%#88#%#%#902#%#%#971#%#%#984#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";mes_uncompleted;1019#%#%#1027#%#%#1062#%#%#1065#%#%#1069#%#%#1142#%#%#1194#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#1446#%#%#1460#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1728#%#%#1749#%#%#1786#%#%#1878#%#%#1990#%#%#2062#%#%#213#%#%#2161#%#%#2168#%#%#2174#%#%#226#%#%#25#%#%#457#%#%#477#%#%#498#%#%#510#%#%#632#%#%#634#%#%#762#%#%#869#%#%#88#%#%#902#%#%#971#%#%#984#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";mes;1019#%#%#1027#%#%#1062#%#%#1065#%#%#1069#%#%#1118#%#%#1142#%#%#1173#%#%#1194#%#%#1229#%#%#1310#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#137#%#%#1446#%#%#1460#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1728#%#%#1749#%#%#1786#%#%#1792#%#%#1824#%#%#1878#%#%#1990#%#%#2005#%#%#2011#%#%#2022#%#%#2062#%#%#213#%#%#2161#%#%#2168#%#%#2174#%#%#226#%#%#25#%#%#379#%#%#457#%#%#477#%#%#498#%#%#506#%#%#508#%#%#510#%#%#579#%#%#630#%#%#631#%#%#632#%#%#634#%#%#7#%#%#762#%#%#869#%#%#88#%#%#902#%#%#971#%#%#984#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";mes_greedy_cost;1019#%#%#1027#%#%#1062#%#%#1065#%#%#1069#%#%#1142#%#%#1194#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#1446#%#%#1460#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1728#%#%#1749#%#%#1786#%#%#1878#%#%#1990#%#%#2061#%#%#2062#%#%#213#%#%#2161#%#%#2168#%#%#2174#%#%#226#%#%#25#%#%#457#%#%#477#%#%#498#%#%#510#%#%#579#%#%#631#%#%#632#%#%#634#%#%#762#%#%#869#%#%#88#%#%#902#%#%#971#%#%#984#%#%#989
"Warszawa, Mokotów, Mokotów, 2020-09";seq_phragmen;1019#%#%#1039#%#%#1062#%#%#1065#%#%#1069#%#%#1118#%#%#1142#%#%#1173#%#%#1194#%#%#1229#%#%#1303#%#%#1310#%#%#1315#%#%#1317#%#%#1330#%#%#1332#%#%#1356#%#%#137#%#%#1445#%#%#1446#%#%#1460#%#%#1476#%#%#1480#%#%#1547#%#%#1578#%#%#1601#%#%#1728#%#%#1730#%#%#1749#%#%#1786#%#%#1792#%#%#1824#%#%#1878#%#%#1990#%#%#2005#%#%#2011#%#%#2022#%#%#2062#%#%#2100#%#%#213#%#%#2161#%#%#2168#%#%#2174#%#%#2189#%#%#226#%#%#25#%#%#379#%#%#457#%#%#477#%#%#498#%#%#506#%#%#508#%#%#510#%#%#527#%#%#579#%#%#630#%#%#631#%#%#632#%#%#634#%#%#7#%#%#762#%#%#869#%#%#88#%#%#953#%#%#971#%#%#984#%#%#989
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";greedy_card;1#%#%#3#%#%#5
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";greedy_cost;4
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";greedy_cc;1#%#%#3#%#%#5
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";max_card;1#%#%#3#%#%#5
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";max_cost;4
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";mes_uncompleted;3#%#%#5
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";mes;1#%#%#3#%#%#5
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";mes_greedy_cost;1#%#%#3#%#%#5
"Gdynia, Działki Leśne | large, Działki Leśne, 2020-06";seq_phragmen;1#%#%#3#%#%#5
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";greedy_card;2#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";greedy_cost;3#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";greedy_cc;3#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";max_card;3#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";max_cost;3#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";mes_uncompleted;7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";mes;2#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";mes_greedy_cost;3#%#%#6#%#%#7
"Gdynia, Pustki Cisowskie-Demptowo | small, Pustki Cisowskie-Demptowo, 2020-06";seq_phragmen;2#%#%#6#%#%#7
"Zabrze, 2019-10";greedy_card;P0078
"Zabrze, 2019-10";greedy_cost;P0093
"Zabrze, 2019-10";greedy_cc;P0078
"Zabrze, 2019-10";max_card;P0093
"Zabrze, 2019-10";max_cost;P0093
"Zabrze, 2019-10";mes_uncompleted;
"Zabrze, 2019-10";mes;P0078
"Zabrze, 2019-10";mes_greedy_cost;P0093
"Zabrze, 2019-10";seq_phragmen;P0078
"Warszawa, Wawer, Wawer, 2019-09";greedy_card;1006#%#%#1028#%#%#1056#%#%#1084#%#%#1124#%#%#1125#%#%#1127#%#%#1128#%#%#1133#%#%#1139#%#%#1155#%#%#1156#%#%#1186#%#%#1199#%#%#1201#%#%#1212#%#%#1230#%#%#1231#%#%#1248#%#%#125#%#%#1256#%#%#1284#%#%#131#%#%#1332#%#%#1336#%#%#1390#%#%#1398#%#%#1400#%#%#1447#%#%#1613#%#%#1657#%#%#1696#%#%#1753#%#%#180#%#%#1811#%#%#1860#%#%#1892#%#%#1922#%#%#1934#%#%#1995#%#%#2004#%#%#2023#%#%#2036#%#%#2042#%#%#2044#%#%#2048#%#%#2058#%#%#2059#%#%#2073#%#%#208#%#%#2112#%#%#2113#%#%#2120#%#%#265#%#%#278#%#%#289#%#%#296#%#%#309#%#%#310#%#%#312#%#%#313#%#%#314#%#%#361#%#%#366#%#%#367#%#%#379#%#%#398#%#%#450#%#%#473#%#%#480#%#%#481#%#%#490#%#%#503#%#%#513#%#%#518#%#%#522#%#%#525#%#%#526#%#%#531#%#%#578#%#%#635#%#%#794#%#%#832#%#%#862#%#%#899#%#%#90#%#%#903#%#%#906#%#%#908#%#%#93#%#%#940#%#%#949#%#%#953#%#%#994#%#%#996#%#%#997#%#%#998#%#%#999
"Warszawa, Wawer, Wawer, 2019-09";greedy_cost;1128#%#%#1195#%#%#1256#%#%#1753#%#%#1934#%#%#2046#%#%#2051#%#%#2073#%#%#314#%#%#443#%#%#518#%#%#531#%#%#794#%#%#851#%#%#953#%#%#996
